K,Dimension,Number of Points,Time,Distribution
6,2,409600,0.00046056,Uniform
7,2,409600,1.483e-07,Uniform
8,2,409600,0.000597771,Uniform
9,2,409600,2.013e-07,Uniform
10,2,409600,0.000425025,Uniform
11,2,409600,1.479e-07,Uniform
1,2,819200,1.579e-07,Uniform
2,2,819200,1.404e-07,Uniform
3,2,819200,0.000429594,Uniform
4,2,819200,1.393e-07,Uniform
5,2,819200,1.454e-07,Uniform
6,2,819200,0.00101879,Uniform
7,2,819200,0.000707703,Uniform
8,2,819200,0.00101964,Uniform
9,2,819200,1.487e-07,Uniform
10,2,819200,1.678e-07,Uniform
11,2,819200,0.00118297,Uniform
1,2,50,1.142e-07,Gaussian
2,2,50,1.179e-07,Gaussian
3,2,50,1.247e-07,Gaussian
4,2,50,1.27e-07,Gaussian
5,2,50,1.149e-07,Gaussian
6,2,50,1.215e-07,Gaussian
7,2,50,1.225e-07,Gaussian
8,2,50,1.16e-07,Gaussian
9,2,50,2.87854e-05,Gaussian
10,2,50,1.0317e-05,Gaussian
11,2,50,8.2508e-06,Gaussian
1,2,100,9.04e-08,Gaussian
2,2,100,8.32e-08,Gaussian
3,2,100,7.83e-08,Gaussian
4,2,100,1.018e-07,Gaussian
5,2,100,7.86e-08,Gaussian
6,2,100,7.76e-08,Gaussian
7,2,100,7.77e-08,Gaussian
8,2,100,7.83e-08,Gaussian
9,2,100,7.71e-08,Gaussian
10,2,100,7.74e-08,Gaussian
11,2,100,1.149e-07,Gaussian
1,2,200,1.07266e-05,Gaussian
2,2,200,8.8327e-06,Gaussian
3,2,200,9.8988e-06,Gaussian
4,2,200,1.0924e-05,Gaussian
5,2,200,1.27184e-05,Gaussian
6,2,200,1.29361e-05,Gaussian
7,2,200,1.27742e-05,Gaussian
8,2,200,1.3006e-05,Gaussian
9,2,200,1.33711e-05,Gaussian
10,2,200,1.38642e-05,Gaussian
11,2,200,1.37879e-05,Gaussian
1,2,400,9.17e-08,Gaussian
2,2,400,7.88e-08,Gaussian
3,2,400,7.76e-08,Gaussian
4,2,400,7.72e-08,Gaussian
5,2,400,7.85e-08,Gaussian
6,2,400,7.9e-08,Gaussian
7,2,400,7.76e-08,Gaussian
8,2,400,7.8e-08,Gaussian
9,2,400,7.86e-08,Gaussian
10,2,400,8.01e-08,Gaussian
11,2,400,7.89e-08,Gaussian
1,2,800,7.69e-08,Gaussian
2,2,800,7.99e-08,Gaussian
3,2,800,7.93e-08,Gaussian
4,2,800,7.94e-08,Gaussian
5,2,800,7.87e-08,Gaussian
6,2,800,8.3e-08,Gaussian
7,2,800,7.92e-08,Gaussian
8,2,800,8.05e-08,Gaussian
9,2,800,8.02e-08,Gaussian
10,2,800,8.25e-08,Gaussian
11,2,800,7.96e-08,Gaussian
1,2,1600,2.10227e-05,Gaussian
2,2,1600,2.59535e-05,Gaussian
3,2,1600,3.05397e-05,Gaussian
4,2,1600,3.65984e-05,Gaussian
5,2,1600,3.55077e-05,Gaussian
6,2,1600,8.93e-08,Gaussian
7,2,1600,9e-08,Gaussian
8,2,1600,9.4e-08,Gaussian
9,2,1600,4.42036e-05,Gaussian
10,2,1600,4.91211e-05,Gaussian
11,2,1600,8.94e-08,Gaussian
1,2,3200,1.23172e-05,Gaussian
2,2,3200,1.51094e-05,Gaussian
3,2,3200,9.23e-08,Gaussian
4,2,3200,8.89e-08,Gaussian
5,2,3200,8.83e-08,Gaussian
6,2,3200,8.04e-08,Gaussian
7,2,3200,8.59e-08,Gaussian
8,2,3200,8.75e-08,Gaussian
9,2,3200,9.35e-08,Gaussian
10,2,3200,8.35e-08,Gaussian
11,2,3200,7.99e-08,Gaussian
1,2,6400,8.55e-08,Gaussian
2,2,6400,8.5e-08,Gaussian
3,2,6400,8.02e-08,Gaussian
4,2,6400,9.48e-08,Gaussian
5,2,6400,8.68e-08,Gaussian
6,2,6400,9.79e-08,Gaussian
7,2,6400,2.91104e-05,Gaussian
8,2,6400,3.1387e-05,Gaussian
9,2,6400,3.36459e-05,Gaussian
10,2,6400,3.4509e-05,Gaussian
11,2,6400,3.6096e-05,Gaussian
1,2,12800,1.51524e-05,Gaussian
2,2,12800,1.48059e-05,Gaussian
3,2,12800,1.76548e-05,Gaussian
4,2,12800,2.02891e-05,Gaussian
5,2,12800,3.30074e-05,Gaussian
6,2,12800,1.91146e-05,Gaussian
7,2,12800,4.04181e-05,Gaussian
8,2,12800,4.56848e-05,Gaussian
9,2,12800,1.545e-07,Gaussian
10,2,12800,1.427e-07,Gaussian
11,2,12800,9.47697e-05,Gaussian
1,2,25600,3.90706e-05,Gaussian
2,2,25600,4.82741e-05,Gaussian
3,2,25600,6.47795e-05,Gaussian
4,2,25600,6.68406e-05,Gaussian
5,2,25600,7.52191e-05,Gaussian
6,2,25600,1.43e-07,Gaussian
7,2,25600,8.20201e-05,Gaussian
8,2,25600,9.10298e-05,Gaussian
