K,Dimension,Number of Points,Time,Distribution
7,1,409600,0.013796,Uniform
8,1,409600,0.0279986,Uniform
9,1,409600,0.0441199,Uniform
10,1,409600,0.0563926,Uniform
11,1,409600,0.0732154,Uniform
1,1,819200,5.9497e-06,Uniform
2,1,819200,2.57071e-05,Uniform
3,1,819200,0.000152808,Uniform
4,1,819200,0.000864397,Uniform
5,1,819200,0.00322895,Uniform
6,1,819200,0.00842081,Uniform
7,1,819200,0.0208402,Uniform
8,1,819200,0.0476495,Uniform
9,1,819200,0.0842468,Uniform
10,1,819200,0.114673,Uniform
11,1,819200,0.156481,Uniform
1,1,50,1.444e-06,Gaussian
2,1,50,2.7535e-06,Gaussian
3,1,50,4.5654e-06,Gaussian
4,1,50,7.3833e-06,Gaussian
5,1,50,9.3203e-06,Gaussian
6,1,50,9.7214e-06,Gaussian
7,1,50,9.6416e-06,Gaussian
8,1,50,2.05755e-05,Gaussian
9,1,50,1.21836e-05,Gaussian
10,1,50,1.30214e-05,Gaussian
11,1,50,1.08978e-05,Gaussian
1,1,100,1.8892e-06,Gaussian
2,1,100,2.02462e-05,Gaussian
3,1,100,7.8923e-06,Gaussian
4,1,100,1.4981e-05,Gaussian
5,1,100,2.04334e-05,Gaussian
6,1,100,2.23241e-05,Gaussian
7,1,100,2.34988e-05,Gaussian
8,1,100,2.52587e-05,Gaussian
9,1,100,2.59713e-05,Gaussian
10,1,100,2.70328e-05,Gaussian
11,1,100,2.6264e-05,Gaussian
1,1,200,1.7609e-06,Gaussian
2,1,200,3.9649e-06,Gaussian
3,1,200,8.8155e-06,Gaussian
4,1,200,1.84983e-05,Gaussian
5,1,200,2.74151e-05,Gaussian
6,1,200,3.18911e-05,Gaussian
7,1,200,3.50065e-05,Gaussian
8,1,200,4.45966e-05,Gaussian
9,1,200,3.98808e-05,Gaussian
10,1,200,4.51348e-05,Gaussian
11,1,200,4.12346e-05,Gaussian
1,1,400,1.9553e-06,Gaussian
2,1,400,5.4244e-06,Gaussian
3,1,400,1.41402e-05,Gaussian
4,1,400,3.34742e-05,Gaussian
5,1,400,5.47615e-05,Gaussian
6,1,400,6.72112e-05,Gaussian
7,1,400,7.90082e-05,Gaussian
8,1,400,8.96966e-05,Gaussian
9,1,400,9.26921e-05,Gaussian
10,1,400,9.20088e-05,Gaussian
11,1,400,9.29948e-05,Gaussian
1,1,800,2.116e-06,Gaussian
2,1,800,5.737e-06,Gaussian
3,1,800,1.68478e-05,Gaussian
4,1,800,4.48928e-05,Gaussian
5,1,800,8.20991e-05,Gaussian
6,1,800,0.000108649,Gaussian
7,1,800,0.000137865,Gaussian
8,1,800,0.000165629,Gaussian
9,1,800,0.000174432,Gaussian
10,1,800,0.000171489,Gaussian
11,1,800,0.000174504,Gaussian
1,1,1600,2.2612e-06,Gaussian
2,1,1600,6.8505e-06,Gaussian
3,1,1600,2.30524e-05,Gaussian
4,1,1600,6.69184e-05,Gaussian
5,1,1600,0.000131395,Gaussian
6,1,1600,0.000184688,Gaussian
7,1,1600,0.000254715,Gaussian
8,1,1600,0.000315226,Gaussian
9,1,1600,0.000339682,Gaussian
10,1,1600,0.000331669,Gaussian
11,1,1600,0.00033733,Gaussian
1,1,3200,2.6905e-06,Gaussian
2,1,3200,8.2515e-06,Gaussian
3,1,3200,2.65821e-05,Gaussian
4,1,3200,7.83678e-05,Gaussian
5,1,3200,0.000163062,Gaussian
6,1,3200,0.000246842,Gaussian
7,1,3200,0.000362449,Gaussian
8,1,3200,0.000496341,Gaussian
9,1,3200,0.000573417,Gaussian
10,1,3200,0.00056495,Gaussian
11,1,3200,0.000571406,Gaussian
1,1,6400,2.7107e-06,Gaussian
2,1,6400,9.2591e-06,Gaussian
3,1,6400,3.50851e-05,Gaussian
4,1,6400,0.000120141,Gaussian
5,1,6400,0.00028352,Gaussian
6,1,6400,0.000453089,Gaussian
7,1,6400,0.000701476,Gaussian
8,1,6400,0.00102678,Gaussian
9,1,6400,0.00117477,Gaussian
10,1,6400,0.00120899,Gaussian
11,1,6400,0.00126247,Gaussian
1,1,12800,3.0304e-06,Gaussian
2,1,12800,1.0581e-05,Gaussian
3,1,12800,4.07787e-05,Gaussian
4,1,12800,0.000155884,Gaussian
5,1,12800,0.000404635,Gaussian
6,1,12800,0.000726754,Gaussian
7,1,12800,0.00125845,Gaussian
8,1,12800,0.00195764,Gaussian
9,1,12800,0.00243821,Gaussian
10,1,12800,0.00255668,Gaussian
11,1,12800,0.00270506,Gaussian
1,1,25600,3.4499e-06,Gaussian
2,1,25600,1.09963e-05,Gaussian
3,1,25600,4.50618e-05,Gaussian
4,1,25600,0.000183012,Gaussian
5,1,25600,0.00049706,Gaussian
6,1,25600,0.000947024,Gaussian
7,1,25600,0.00178202,Gaussian
8,1,25600,0.00293703,Gaussian
9,1,25600,0.00406853,Gaussian
10,1,25600,0.00418728,Gaussian
11,1,25600,0.00464709,Gaussian
1,1,51200,3.875e-06,Gaussian
2,1,51200,1.46999e-05,Gaussian
3,1,51200,7.85211e-05,Gaussian
4,1,51200,0.000354913,Gaussian
5,1,51200,0.00109028,Gaussian
6,1,51200,0.00228233,Gaussian
7,1,51200,0.00461732,Gaussian
8,1,51200,0.00819775,Gaussian
9,1,51200,0.0116766,Gaussian
10,1,51200,0.0127983,Gaussian
11,1,51200,0.0150967,Gaussian
1,1,102400,4.2033e-06,Gaussian
2,1,102400,1.43373e-05,Gaussian
3,1,102400,6.54679e-05,Gaussian
4,1,102400,0.000308522,Gaussian
5,1,102400,0.000901764,Gaussian
6,1,102400,0.00194988,Gaussian
7,1,102400,0.00398152,Gaussian
8,1,102400,0.00765393,Gaussian
9,1,102400,0.0112418,Gaussian
10,1,102400,0.0130194,Gaussian
11,1,102400,0.0155587,Gaussian
