K,Dimension,Number of Points,Time,Distribution
11,1,409600,0.126911,Uniform
1,1,819200,0.263299,Uniform
2,1,819200,0.262443,Uniform
3,1,819200,0.274474,Uniform
4,1,819200,0.283518,Uniform
5,1,819200,0.281947,Uniform
6,1,819200,0.262941,Uniform
7,1,819200,0.261058,Uniform
8,1,819200,0.266518,Uniform
9,1,819200,0.282126,Uniform
10,1,819200,0.362484,Uniform
11,1,819200,0.2646,Uniform
1,1,50,1.15693e-05,Gaussian
2,1,50,9.9774e-06,Gaussian
3,1,50,1.00494e-05,Gaussian
4,1,50,1.00272e-05,Gaussian
5,1,50,1.03034e-05,Gaussian
6,1,50,1.02906e-05,Gaussian
7,1,50,1.03234e-05,Gaussian
8,1,50,1.03324e-05,Gaussian
9,1,50,1.05873e-05,Gaussian
10,1,50,1.05888e-05,Gaussian
11,1,50,1.05766e-05,Gaussian
1,1,100,1.72889e-05,Gaussian
2,1,100,1.73859e-05,Gaussian
3,1,100,1.7537e-05,Gaussian
4,1,100,1.74684e-05,Gaussian
5,1,100,1.77231e-05,Gaussian
6,1,100,1.77387e-05,Gaussian
7,1,100,1.7734e-05,Gaussian
8,1,100,1.77618e-05,Gaussian
9,1,100,1.80836e-05,Gaussian
10,1,100,1.80675e-05,Gaussian
11,1,100,1.81039e-05,Gaussian
1,1,200,4.44587e-05,Gaussian
2,1,200,4.43988e-05,Gaussian
3,1,200,4.45172e-05,Gaussian
4,1,200,4.4407e-05,Gaussian
5,1,200,4.4729e-05,Gaussian
6,1,200,4.48985e-05,Gaussian
7,1,200,4.47029e-05,Gaussian
8,1,200,4.47214e-05,Gaussian
9,1,200,4.50219e-05,Gaussian
10,1,200,4.49707e-05,Gaussian
11,1,200,4.49996e-05,Gaussian
1,1,400,8.96745e-05,Gaussian
2,1,400,8.96914e-05,Gaussian
3,1,400,8.98768e-05,Gaussian
4,1,400,8.97924e-05,Gaussian
5,1,400,9.01465e-05,Gaussian
6,1,400,9.01302e-05,Gaussian
7,1,400,9.01906e-05,Gaussian
8,1,400,9.04036e-05,Gaussian
9,1,400,9.05665e-05,Gaussian
10,1,400,9.04792e-05,Gaussian
11,1,400,9.05463e-05,Gaussian
1,1,800,0.000218686,Gaussian
2,1,800,0.000218673,Gaussian
3,1,800,0.000218865,Gaussian
4,1,800,0.000218666,Gaussian
5,1,800,0.000219063,Gaussian
6,1,800,0.000219221,Gaussian
7,1,800,0.000218948,Gaussian
8,1,800,0.000219438,Gaussian
9,1,800,0.000220725,Gaussian
10,1,800,0.00021949,Gaussian
11,1,800,0.000219299,Gaussian
1,1,1600,0.000567723,Gaussian
2,1,1600,0.00056779,Gaussian
3,1,1600,0.000567745,Gaussian
4,1,1600,0.000567975,Gaussian
5,1,1600,0.000568185,Gaussian
6,1,1600,0.000568218,Gaussian
7,1,1600,0.00056829,Gaussian
8,1,1600,0.000571698,Gaussian
9,1,1600,0.00056918,Gaussian
10,1,1600,0.000568908,Gaussian
11,1,1600,0.000569378,Gaussian
1,1,3200,0.00121082,Gaussian
2,1,3200,0.00120991,Gaussian
3,1,3200,0.00120984,Gaussian
4,1,3200,0.00121004,Gaussian
5,1,3200,0.00120964,Gaussian
6,1,3200,0.0012093,Gaussian
7,1,3200,0.0012098,Gaussian
8,1,3200,0.00123271,Gaussian
9,1,3200,0.00121535,Gaussian
10,1,3200,0.00121644,Gaussian
11,1,3200,0.00121058,Gaussian
1,1,6400,0.00276719,Gaussian
2,1,6400,0.00275257,Gaussian
3,1,6400,0.00275101,Gaussian
4,1,6400,0.00275199,Gaussian
5,1,6400,0.00327425,Gaussian
6,1,6400,0.002774,Gaussian
7,1,6400,0.00278305,Gaussian
8,1,6400,0.0031702,Gaussian
9,1,6400,0.0027608,Gaussian
10,1,6400,0.0027559,Gaussian
11,1,6400,0.00275464,Gaussian
1,1,12800,0.00616813,Gaussian
2,1,12800,0.00685354,Gaussian
3,1,12800,0.00641994,Gaussian
4,1,12800,0.00610883,Gaussian
5,1,12800,0.0061946,Gaussian
6,1,12800,0.00610635,Gaussian
7,1,12800,0.00610284,Gaussian
8,1,12800,0.00610591,Gaussian
9,1,12800,0.00611415,Gaussian
